Channel			  :,CH2
Frequency			  :,F=411.7kHz
Period 			  :,T=  ?
PK-PK				  :,Vpp=5.680V
Average			  :,V=3.514V
Vertical pos		  :,-4000.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,0.08uS

index,CH2_Voltage(mV)
445,4800.00
446,4800.00
447,4800.00
448,4800.00
449,4720.00
450,4800.00
451,4800.00
452,4800.00
453,4720.00
454,4640.00
455,4880.00
456,4720.00
457,4720.00
458,4880.00
459,4880.00
460,4800.00
461,4720.00
462,4720.00
463,4800.00
464,0.00
465,-80.00
466,-80.00
467,0.00
468,80.00
469,80.00
470,-80.00
471,160.00
472,80.00
473,0.00
474,160.00
475,160.00
476,4800.00
477,4720.00
478,4880.00
479,4800.00
480,4800.00
481,4800.00
482,4720.00
483,4800.00
484,4880.00
485,4880.00
486,4800.00
487,4800.00
488,4720.00
489,4800.00
490,4800.00
491,4720.00
492,4720.00
493,4720.00
494,4720.00
495,4800.00
496,4800.00
497,4800.00
498,4800.00
499,4880.00
500,4960.00
501,4880.00
502,4800.00
503,4800.00
504,4800.00
505,4720.00
506,4800.00
507,4880.00
508,4800.00
509,4720.00
510,4800.00
511,4800.00
512,4800.00
513,4800.00
514,4800.00
515,4800.00
516,4720.00
517,0.00
518,80.00
519,80.00
520,0.00
521,-80.00
522,80.00
523,80.00
524,80.00
525,80.00
526,80.00
527,80.00
528,400.00
529,4720.00
530,4880.00
531,4800.00
532,4800.00
533,4640.00
534,4880.00
535,4720.00
536,4880.00
537,4800.00
538,4800.00
539,4880.00
540,4720.00
541,4720.00
542,4800.00
543,4720.00
544,4720.00
545,4720.00
546,4720.00
547,4800.00
548,4720.00
549,4800.00
550,4800.00
551,4800.00
552,4880.00
553,4800.00
554,4800.00
555,4800.00
556,4880.00
557,4720.00
558,4720.00
559,4880.00
560,4800.00
561,4800.00
562,4720.00
563,4640.00
564,4720.00
565,80.00
566,80.00
567,0.00
568,160.00
569,80.00
570,160.00
571,0.00
572,80.00
573,80.00
574,160.00
575,0.00
576,80.00
577,4640.00
578,4800.00
579,4800.00
580,4800.00
581,4720.00
582,4880.00
583,4800.00
584,4720.00
585,4720.00
586,4880.00
587,4720.00
588,4720.00
589,4720.00
590,4720.00
591,4720.00
592,4800.00
593,4720.00
594,4800.00
595,4800.00
596,4720.00
597,4720.00
598,4800.00
599,4800.00
600,4800.00
601,4800.00
602,4880.00
603,4720.00
604,4800.00
605,4720.00
606,4720.00
607,4800.00
608,4880.00
