Channel			  :,CH2
Frequency			  :,F=937.6kHz
Period 			  :,T=  ?
PK-PK				  :,Vpp=6.880V
Average			  :,V=4.244V
Vertical pos		  :,-4000.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,0.02uS

index,CH2_Voltage(mV)
435,4800.00
436,4720.00
437,4800.00
438,4800.00
439,4800.00
440,4720.00
441,4800.00
442,4720.00
443,4720.00
444,4800.00
445,4800.00
446,4720.00
447,4720.00
448,4720.00
449,4800.00
450,4800.00
451,4800.00
452,4720.00
453,4720.00
454,4800.00
455,4720.00
456,4800.00
457,4720.00
458,4720.00
459,4880.00
460,4800.00
461,4800.00
462,4720.00
463,4800.00
464,4720.00
465,4800.00
466,4800.00
467,4720.00
468,4800.00
469,4720.00
470,4720.00
471,4720.00
472,4720.00
473,4800.00
474,4720.00
475,4800.00
476,4800.00
477,4640.00
478,4720.00
479,4720.00
480,4720.00
481,4800.00
482,4800.00
483,4640.00
484,4800.00
485,4800.00
486,4720.00
487,4720.00
488,4880.00
489,4720.00
490,4800.00
491,4720.00
492,4720.00
493,4800.00
494,4800.00
495,4800.00
496,4720.00
497,4720.00
498,4800.00
499,4880.00
500,4800.00
501,-1040.00
502,720.00
503,160.00
504,-80.00
505,0.00
506,-160.00
507,-80.00
508,-160.00
509,-80.00
510,0.00
511,-80.00
512,-80.00
513,0.00
514,-80.00
515,0.00
516,-80.00
517,80.00
518,0.00
519,-80.00
520,0.00
521,0.00
522,-80.00
523,-80.00
524,-80.00
525,0.00
526,2080.00
527,4080.00
528,4480.00
529,4800.00
530,4800.00
531,4720.00
532,4720.00
533,4880.00
534,4720.00
535,4880.00
536,4720.00
537,4720.00
538,4720.00
539,4800.00
540,4800.00
541,4880.00
542,4720.00
543,4880.00
544,4800.00
545,4800.00
546,4800.00
547,4720.00
548,4800.00
549,4800.00
550,4800.00
551,4800.00
552,4800.00
553,4880.00
554,4880.00
555,4880.00
556,4800.00
557,4720.00
558,4720.00
559,4720.00
560,4800.00
561,4720.00
562,4800.00
563,4720.00
564,4720.00
565,4800.00
566,4720.00
567,4720.00
568,4800.00
569,4880.00
570,4800.00
571,4800.00
572,4720.00
573,4800.00
574,4800.00
575,4720.00
576,4800.00
577,4720.00
578,4720.00
579,4800.00
580,4800.00
581,4800.00
582,4720.00
583,4720.00
584,4720.00
585,4720.00
586,4800.00
587,4720.00
588,4800.00
589,4720.00
590,4800.00
591,4800.00
592,4720.00
593,4640.00
594,4880.00
595,4720.00
596,4720.00
597,4720.00
598,4800.00
599,4800.00
600,4800.00
601,4800.00
602,4720.00
603,4800.00
604,4720.00
605,4880.00
606,4800.00
607,4720.00
608,4800.00
609,4800.00
610,4640.00
611,4800.00
612,4880.00
613,4800.00
614,4720.00
615,4720.00
616,4720.00
617,4880.00
618,4800.00
619,4800.00
620,4800.00
621,4640.00
622,4800.00
623,4800.00
624,4800.00
625,4720.00
626,4720.00
627,4800.00
628,4800.00
629,4800.00
630,4800.00
631,4640.00
632,4880.00
633,4800.00
634,4800.00
635,4800.00
636,4880.00
637,4800.00
638,4800.00
639,4720.00
640,4720.00
641,4800.00
642,4880.00
643,4800.00
644,4800.00
645,4720.00
646,4640.00
647,4720.00
648,4800.00
649,4800.00
650,4880.00
651,4720.00
652,4720.00
653,4800.00
654,4640.00
655,4640.00
656,4800.00
657,4720.00
658,4800.00
659,4800.00
660,4720.00
661,4720.00
662,4960.00
663,4800.00
664,4800.00
665,4640.00
666,4800.00
667,4800.00
668,4720.00
669,4800.00
670,4720.00
671,4720.00
672,4720.00
673,4800.00
674,4720.00
675,4720.00
676,4720.00
677,4800.00
678,4800.00
679,4720.00
680,4720.00
681,4720.00
682,4800.00
683,4800.00
684,4800.00
685,4720.00
686,4720.00
687,4800.00
688,4800.00
689,4880.00
690,4720.00
691,4640.00
692,4720.00
693,4800.00
694,4800.00
695,4720.00
696,4720.00
697,4880.00
698,4800.00
699,4800.00
700,4800.00
701,4720.00
702,4720.00
703,4800.00
704,4720.00
705,4720.00
706,4640.00
707,4800.00
708,4800.00
709,4720.00
710,4720.00
711,4720.00
712,4880.00
713,4720.00
714,4800.00
715,4720.00
716,4720.00
717,4720.00
718,4720.00
719,4720.00
720,4720.00
721,4720.00
722,4880.00
723,4800.00
724,4720.00
725,4720.00
726,4720.00
727,4720.00
728,4800.00
729,4800.00
730,4720.00
731,4720.00
732,4800.00
733,4800.00
