Channel			  :,CH2
Frequency			  :,F=62.54kHz
Period 			  :,T=  ?
PK-PK				  :,Vpp=6.880V
Average			  :,V=3.443V
Vertical pos		  :,-4000.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,0.08uS

index,CH2_Voltage(mV)
0,4800.00
1,4800.00
2,4800.00
3,4720.00
4,4720.00
5,4800.00
6,4880.00
7,4880.00
8,4720.00
9,4800.00
10,4720.00
11,4800.00
12,4800.00
13,4800.00
14,4720.00
15,4720.00
16,4800.00
17,4800.00
18,4800.00
19,4880.00
20,4800.00
21,4880.00
22,4720.00
23,4720.00
24,4800.00
25,4800.00
26,4720.00
27,4720.00
28,4800.00
29,4800.00
30,4800.00
31,4720.00
32,4800.00
33,4880.00
34,4800.00
35,4800.00
36,4720.00
37,4720.00
38,4720.00
39,4800.00
40,4720.00
41,4720.00
42,4720.00
43,4800.00
44,4800.00
45,4800.00
46,4880.00
47,4800.00
48,4800.00
49,4880.00
50,4800.00
51,4720.00
52,4720.00
53,4800.00
54,4800.00
55,4800.00
56,4720.00
57,4800.00
58,4720.00
59,4800.00
60,4800.00
61,4720.00
62,4800.00
63,4640.00
64,4720.00
65,4880.00
66,4800.00
67,4800.00
68,4800.00
69,4800.00
70,4800.00
71,4720.00
72,4800.00
73,4800.00
74,4800.00
75,4800.00
76,4800.00
77,4720.00
78,4800.00
79,4800.00
80,4720.00
81,4800.00
82,4720.00
83,4800.00
84,4720.00
85,4720.00
86,4800.00
87,4800.00
88,4800.00
89,4800.00
90,4720.00
91,4800.00
92,4720.00
93,4720.00
94,4800.00
95,4720.00
96,4720.00
97,4720.00
98,4720.00
99,4800.00
100,4800.00
101,4800.00
102,4800.00
103,4880.00
104,4720.00
105,4800.00
106,4720.00
107,4800.00
108,4800.00
109,4800.00
110,4800.00
111,4800.00
112,4800.00
113,4720.00
114,4800.00
115,4800.00
116,4720.00
117,4720.00
118,4880.00
119,4800.00
120,4720.00
121,4800.00
122,4880.00
123,4880.00
124,4720.00
125,4800.00
126,4800.00
127,4800.00
128,4880.00
129,4800.00
130,4720.00
131,4640.00
132,4720.00
133,4720.00
134,4800.00
135,4720.00
136,4800.00
137,4800.00
138,4800.00
139,4800.00
140,4640.00
141,4720.00
142,4800.00
143,4720.00
144,4800.00
145,4800.00
146,4800.00
147,4800.00
148,4800.00
149,4720.00
150,4800.00
151,4800.00
152,4800.00
153,4800.00
154,4800.00
155,4800.00
156,4800.00
157,4880.00
158,4800.00
159,4880.00
160,4720.00
161,4800.00
162,4800.00
163,4800.00
164,4800.00
165,4880.00
166,4720.00
167,4800.00
168,4720.00
169,4800.00
170,4720.00
171,4720.00
172,4800.00
173,4800.00
174,4720.00
175,4800.00
176,4720.00
177,4800.00
178,4720.00
179,4800.00
180,4800.00
181,4720.00
182,4720.00
183,4800.00
184,4720.00
185,4800.00
186,4800.00
187,4720.00
188,4800.00
189,4720.00
190,4880.00
191,4800.00
192,4720.00
193,4800.00
194,4800.00
195,4720.00
196,4720.00
197,4720.00
198,4720.00
199,4800.00
200,4720.00
201,4800.00
202,4800.00
203,4800.00
204,4880.00
205,4880.00
206,4800.00
207,4800.00
208,4880.00
209,4720.00
210,4880.00
211,4800.00
212,4720.00
213,4880.00
214,4800.00
215,4720.00
216,4720.00
217,4800.00
218,4800.00
219,4800.00
220,4800.00
221,4720.00
222,4880.00
223,4800.00
224,4800.00
225,4800.00
226,4720.00
227,4720.00
228,4800.00
229,4800.00
230,4800.00
231,4800.00
232,4800.00
233,4800.00
234,4880.00
